"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GODREJCP","Godrej Consumer Products Limited","EQ","Interim Dividend - Rs 5 Per Share","1","12-May-2026","12-May-2026","-","-"
"NRBBEARING","NRB Bearing Limited","EQ","Interim Dividend - Rs 2.25 Per Share","2","13-May-2026","13-May-2026","-","-"
"679GS2027","GOVERNMENT OF INDIA","GS","Interest Payment","100","14-May-2026","14-May-2026","-","-"
"CIGNITITEC","Cigniti Technologies Limited","EQ","Merger","10","15-May-2026","16-May-2026","-","-"
"APTUS","Aptus Value Housing Finance India Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","15-May-2026","15-May-2026","-","-"
"ANANDRATHI","Anand Rathi Wealth Limited","EQ","Dividend - Rs 7 Per Share","5","15-May-2026","15-May-2026","-","-"
"IEX","Indian Energy Exchange Limited","EQ","Dividend - Rs 2 Per Share","1","15-May-2026","15-May-2026","-","-"
"GARFIBRES","Garware Technical Fibres Limited","EQ","Buy Back","10","20-May-2026","20-May-2026","-","-"
"GMBREW","GM Breweries Limited","EQ","Dividend - Rs 9 Per Share","10","21-May-2026","21-May-2026","-","-"
"LT","Larsen & Toubro Limited","EQ","Dividend - Rs 38 Per Share","2","22-May-2026","22-May-2026","-","-"
"LTF","L&T Finance Limited","EQ","Dividend - Rs 2.75 Per Share","10","22-May-2026","22-May-2026","-","-"
"SULA","Sula Vineyards Limited","EQ","Dividend - Rs 2 Per Share","2","22-May-2026","22-May-2026","-","-"
"LTTS","L&T Technology Services Limited","EQ","Dividend - Rs 40 Per Share","2","22-May-2026","22-May-2026","-","-"
"815GS2026","GOVERNMENT OF INDIA","GS","Interest Payment","100","22-May-2026","22-May-2026","-","-"
"JINDALSAW","Jindal Saw Limited","EQ","Dividend - Rs 2 Per Share","1","22-May-2026","22-May-2026","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Dividend - Rs 31 Per Share","1","25-May-2026","25-May-2026","-","-"
"LTM","LTM Limited","EQ","Dividend - Rs 53 Per Share","1","25-May-2026","25-May-2026","-","-"
"662GS2051","GOVERNMENT OF INDIA","GS","Interest Payment","100","27-May-2026","27-May-2026","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Dividend - Rs 150 Per Share","10","29-May-2026","29-May-2026","-","-"
"INDIANB","Indian Bank","EQ","Dividend - Rs 18.25 Per Share","10","10-Jun-2026","10-Jun-2026","-","-"
