"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"ACL","Andhra Cements Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"ADFFOODS","ADF Foods Limited","Financial Results/Dividend","1. To consider and approve the Audited Standalone and Consolidated Financial Results for the Quarter and Financial Year ended 31st March, 2026 along with the Audit Report for the corresponding period. 2. To consider and recommend Final Dividend on the Equity Shares of the Company for the Financial Year 2025-26, if any.","13-May-2026"
"AEROENTER","Aeroflex Enterprises Limited","Financial Results/Dividend","Aeroflex Enterprises Limited has informed NSE that the meeting of the Board of Directors of the Company is scheduled on Wednesday, May 13, 2026, inter alia, to transact the following businesses:1. To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and financial year ended March 31, 2026, and Auditor s Report thereon; 2. Recommendation of final dividend on equity shares, if any, for the financial year ended March 31, 2026; and  3. Any other business with the permission of the Chair.","13-May-2026"
"BALAMINES","Balaji Amines Limited","Financial Results/Dividend","Balaji Amines Ltd-has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 13/05/2026 ,inter alia, to consider and approve Audited Standalone and Consolidated Financial Results of the Company for the Quarter and Year ended 31st March, 2026 and to consider and recommend a Final Dividend for FY2025-26, if any.","13-May-2026"
"BBTC","The Bombay Burmah Trading Corporation Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and declaration of dividend, if any","13-May-2026"
"BHARTIARTL","Bharti Airtel Limited","Dividend/Other business matters","This is further to our earlier intimation dt. May 01, 2026 with respect to Board Meeting to be held on May 13, 2026.We wish to inform you that the Board of Directors of the Company, in its aforesaid meeting, will also consider the following:(a) Recommendation/ declaration of dividend, if any, for the financial year 2025-26.(b) Reorganization of shareholding framework of subsidiary company(ies) including Airtel Africa plc, which may result in consolidation/ acquisition of shares of such subsidiary company(ies), the consideration of which may be discharged through issuance of equity shares of the Company on a preferential basis and/ or cash.","13-May-2026"
"BHARTIARTL","Bharti Airtel Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"BHARTIHEXA","Bharti Hexacom Limited","Financial Results","To consider and approve the financial results for the fourth quarter and year ended on March 31, 2026","13-May-2026"
"BHARTIHEXA","Bharti Hexacom Limited","Dividend","This is further to our earlier intimation dt. May 01, 2026 with respect to Board Meeting to be held on Wednesday, May 13, 2026. We wish to inform you that the Board of Directors of the Company, in its aforesaid meeting, will also consider recommendation/declaration of dividend for the financial year 2025-26.","13-May-2026"
"CAPITALSFB","Capital Small Finance Bank Limited","Fund Raising","To consider Fund Raising","13-May-2026"
"CARERATING","CARE Ratings Limited","Financial Results/Dividend","To consider and approve the Audited (Standalone & Consolidated) Financial Results of the Company for the quarter and financial year ended on March 31, 2026 and to recommend Final Dividend, if any, for the financial year 2025-26","13-May-2026"
"CHEMFAB","Chemfab Alkalis Limited","Financial Results/Dividend","To consider and approve the financial statements for the quarter and year ended March 31, 2026 and to consider declaration dividend subject to shareholders approval, if any.","13-May-2026"
"CIPLA","Cipla Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","13-May-2026"
"CLEDUCATE","CL Educate Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"CYBERTECH","Cybertech Systems And Software Limited","Financial Results/Dividend/Buyback/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend, buyback for equity shares and other business matters","13-May-2026"
"DCMSHRIRAM","DCM Shriram Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"DICIND","DIC India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"DIGISPICE","DiGiSPICE Technologies Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"DLF","DLF Limited","Financial Results","To consider and approve, inter-alia, the Audited Financial Results for the Quarter and Financial Year (FY) ended 31st March 2026","13-May-2026"
"DLF","DLF Limited","Dividend","Board Meeting intimation to consider and recommend Dividend, if any, for FY 2025-26","13-May-2026"
"ESTER","Ester Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"EXPLEOSOL","Expleo Solutions Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"FINKURVE","Finkurve Financial Services Limited","Fund Raising","To consider Fund Raising by issuance of 11.33% Non-Convertible Debentures","13-May-2026"
"GABRIEL","Gabriel India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"GKENERGY","GK Energy Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the quarter and financial year ended March 31, 2026, along with Auditors Report and Other matters.","13-May-2026"
"GLAXO","GlaxoSmithKline Pharmaceuticals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"GROBTEA","The Grob Tea Company Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","13-May-2026"
"HINDPETRO","Hindustan Petroleum Corporation Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"IKS","Inventurus Knowledge Solutions Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"INTERARCH","Interarch Building Solutions Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"JETFREIGHT","Jet Freight Logistics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"JSWDULUX","JSW Dulux Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"KAYNES","Kaynes Technology India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"KIRLOSBROS","Kirloskar Brothers Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"LAXMIINDIA","Laxmi India Finance Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"LICHSGFIN","LIC Housing Finance Limited","Financial Results/Dividend/Other business matters","To consider and approve 1) the Audited Financial Results for the Fourth Quarter and year ended 31st March, 2026 2) Recommendation of Dividend for the F.Y. 2025-2026, if any. 3) other business matters","13-May-2026"
"MANINFRA","Man Infraconstruction Limited","Financial Results/Dividend","To consider and approve the Audited financial results for the period ended March 31, 2026 and Interim dividend, if any.","13-May-2026"
"MEIL","Mangal Electrical Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"METROPOLIS","Metropolis Healthcare Limited","Financial Results/Dividend","To consider and approve the audited financial results of the company for the quarter and financial year ended March 31, 2026 and dividend","13-May-2026"
"MODINATUR","Modi Naturals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"NBIFIN","N. B. I. Industrial Finance Company Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"NHIT","National Highways Infra Trust","Other business matters","To consider Annual Audited Standalone and Consolidated Financial Statements along with quarterly and Annual Results of NHIT and Declaration of distributions, if any to be paid to Unitholders for the period ended February and March, 2026.","13-May-2026"
"NITCO","Nitco Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"NLCINDIA","NLC India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","13-May-2026"
"OIL","Oil India Limited","Financial Results/Dividend","To consider and approve the Audited Financial Results of the Company for the Quarter & Year ended 31st March 2026 and to recommend Final Dividend for F.Y. 2025-26, if any.","13-May-2026"
"OMINFRAL","OM INFRA LIMITED","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"ONESOURCE","Onesource Specialty Pharma Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"PARACABLES","Paramount Communications Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","13-May-2026"
"PARAS","Paras Defence and Space Technologies Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated financial results for the quarter and year ended March 31, 2026","13-May-2026"
"PARAS","Paras Defence and Space Technologies Limited","Dividend","To consider and recommend payment of Dividend on equity shares of the Company for the Financial Year ended March 31, 2026.","13-May-2026"
"PFC","Power Finance Corporation Limited","Financial Results/Dividend","Intimation of Board Meeting pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulation, 2015","13-May-2026"
"QPOWER","Quality Power Electrical Equipments Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
